seqname	V	D	J	vlen	vdilen	dlen	djilen	jlen
S635	IGHV4-30-4*01	IGHD5-12*01	IGHJ4*02	294	0	10	7	41
S636	IGHV3-72*01	IGHD2-8*02	IGHJ6*02	300	11	16	1	62
S637	IGHV4/OR15-8*01	IGHD1-20*01	IGHJ1*01	292	3	15	5	46
S638	IGHV4-61*03	IGHD5/OR15-5a*01	IGHJ6*02	296	4	11	0	61
S639	IGHV6-1*02	IGHD1-14*01	IGHJ6*03	303	12	4	6	62
S640	IGHV3-43*02	IGHD1/OR15-1a*01	IGHJ6*04	293	19	12	2	59
S641	IGHV4-30-4*03	IGHD2-15*01	IGHJ5*02	289	0	26	0	43
S642	IGHV3-53*03	IGHD2-2*02	IGHJ4*02	290	0	8	0	45
S643	IGHV3/OR15-7*03	IGHD2/OR15-2a*01	IGHJ3*02	299	10	10	0	39
S644	IGHV3-13*04	IGHD5-18*01	IGHJ4*02	291	0	10	6	48
S645	IGHV4-59*06	IGHD6-6*01	IGHJ5*01	287	4	12	8	44
S646	IGHV3/OR16-6*02	IGHD3-16*02	IGHJ1*01	300	7	25	3	50
S647	IGHV3/OR16-12*01	IGHD3/OR15-3a*01	IGHJ4*01	289	0	30	0	48
S648	IGHV3-7*02	IGHD3-10*01	IGHJ6*02	294	9	27	12	51
S649	IGHV3-43D*01	IGHD1-26*01	IGHJ4*03	293	6	10	0	46
S650	IGHV1-8*01	IGHD4-23*01	IGHJ2*01	294	2	8	13	47
S651	IGHV3-43*02	IGHD1-1*01	IGHJ5*02	290	0	7	0	49
S652	IGHV1/OR21-1*01	IGHD2/OR15-2a*01	IGHJ3*01	293	8	26	7	48
S653	IGHV3/OR16-13*01	IGHD5/OR15-5a*01	IGHJ3*02	294	5	12	0	41
S654	IGHV3/OR16-9*01	IGHD4-17*01	IGHJ6*02	289	0	16	13	60
S655	IGHV3-11*05	IGHD6-19*01	IGHJ1*01	290	0	21	4	52
S656	IGHV3/OR16-12*01	IGHD1-1*01	IGHJ6*02	289	10	1	4	56
S657	IGHV1-45*02	IGHD6-25*01	IGHJ6*02	293	9	9	7	57
S658	IGHV3-48*01	IGHD6-19*01	IGHJ6*02	294	6	15	0	57
S659	IGHV3-38*03	IGHD4-11*01	IGHJ4*02	287	5	7	2	48
S660	IGHV4/OR15-8*03	IGHD2-15*01	IGHJ2*01	294	6	23	6	53
S661	IGHV3-64D*06	IGHD4-23*01	IGHJ2*01	289	9	9	1	50
S662	IGHV3/OR15-7*03	IGHD4-23*01	IGHJ3*02	300	5	10	8	38
S663	IGHV3-38-3*01	IGHD6-19*01	IGHJ3*01	287	8	12	1	47
S664	IGHV5-10-1*01	IGHD6-13*01	IGHJ1*01	293	0	12	0	47
S665	IGHV1-3*02	IGHD1-14*01	IGHJ6*04	293	13	8	0	62
S666	IGHV3-11*03	IGHD3-10*02	IGHJ2*01	293	5	15	3	42
S667	IGHV1-2*04	IGHD3-22*01	IGHJ3*02	294	7	25	0	44
S668	IGHV1/OR15-1*03	IGHD2-8*02	IGHJ3*01	292	3	22	10	49
S669	IGHV4-61*02	IGHD3/OR15-3a*01	IGHJ5*01	296	0	14	4	47
S670	IGHV4-30-2*01	IGHD2-21*01	IGHJ5*02	296	3	18	24	44
S671	IGHV4/OR15-8*03	IGHD2-21*01	IGHJ3*02	294	6	14	0	50
S672	IGHV1-8*02	IGHD3/OR15-3a*01	IGHJ5*01	294	14	31	3	46
S673	IGHV1-45*01	IGHD6-25*01	IGHJ5*01	291	12	18	0	49
S674	IGHV3/OR16-12*01	IGHD6-19*01	IGHJ6*03	294	3	21	0	60
S675	IGHV3/OR16-10*03	IGHD3/OR15-3a*01	IGHJ4*01	290	0	31	3	46
S676	IGHV4-61*08	IGHD2/OR15-2a*01	IGHJ2*01	297	0	19	4	44
S677	IGHV3-64D*06	IGHD1-14*01	IGHJ4*02	294	7	7	1	46
S678	IGHV3-72*01	IGHD2-21*01	IGHJ1*01	298	14	21	9	46
S679	IGHV1-24*01	IGHD5-24*01	IGHJ2*01	293	19	18	1	51
S680	IGHV3-9*02	IGHD5-24*01	IGHJ4*03	294	12	10	7	44
S681	IGHV6-1*02	IGHD3-16*02	IGHJ3*02	302	4	33	0	46
S682	IGHV6-1*01	IGHD1-1*01	IGHJ4*01	301	15	17	10	42
S683	IGHV6-1*02	IGHD2/OR15-2a*01	IGHJ1*01	301	13	25	0	40
S684	IGHV2-26*01	IGHD4-11*01	IGHJ1*01	299	0	6	3	47
S685	IGHV3-9*02	IGHD3-22*01	IGHJ5*01	294	6	12	6	46
S686	IGHV3-43*01	IGHD5-24*01	IGHJ1*01	294	4	19	5	51
S687	IGHV3-35*01	IGHD4-11*01	IGHJ2*01	294	2	7	0	52
S688	IGHV3/OR16-12*01	IGHD5-12*01	IGHJ4*01	293	2	14	4	45
S689	IGHV1-24*01	IGHD1-20*01	IGHJ1*01	293	2	9	5	43
S690	IGHV3-9*03	IGHD1-26*01	IGHJ2*01	293	3	9	0	53
S691	IGHV3-66*03	IGHD6-19*01	IGHJ5*02	291	12	20	7	46
S692	IGHV4-28*04	IGHD5-12*01	IGHJ3*02	292	4	19	2	50
S693	IGHV3-NL1*01	IGHD2-2*01	IGHJ5*02	293	0	30	5	51
S694	IGHV3-21*03	IGHD1/OR15-1a*01	IGHJ5*02	294	5	9	9	44
S695	IGHV1-69D*01	IGHD2-21*02	IGHJ4*02	293	0	25	6	43
S696	IGHV1-2*03	IGHD3-22*01	IGHJ3*01	294	5	27	6	44
S697	IGHV3-30*12	IGHD7-27*01	IGHJ3*02	294	0	8	0	47
S698	IGHV5-51*04	IGHD4-11*01	IGHJ1*01	293	7	11	0	50
S699	IGHV3-9*03	IGHD6-13*01	IGHJ2*01	293	2	2	4	48
S700	IGHV3-15*05	IGHD5/OR15-5a*01	IGHJ1*01	300	3	21	5	50
S701	IGHV3-74*03	IGHD3-3*01	IGHJ4*01	294	6	25	0	45
S702	IGHV3-15*07	IGHD3-10*01	IGHJ3*01	298	0	31	0	41
S703	IGHV3-74*02	IGHD1-14*01	IGHJ5*01	294	3	14	0	50
S704	IGHV1/OR15-9*01	IGHD2-21*02	IGHJ1*01	294	0	27	3	52
S705	IGHV2/OR16-5*01	IGHD4-17*01	IGHJ3*02	299	0	11	7	50
S706	IGHV4-61*05	IGHD6-6*01	IGHJ2*01	293	14	10	3	53
S707	IGHV3-23*05	IGHD4-17*01	IGHJ4*03	292	7	7	8	47
S708	IGHV3/OR16-9*01	IGHD5-18*01	IGHJ1*01	294	7	14	0	37
S709	IGHV3-30*02	IGHD4-23*01	IGHJ1*01	293	4	0	3	49
S710	IGHV3-30-3*02	IGHD3-16*02	IGHJ5*01	294	12	32	0	38
S711	IGHV1-2*03	IGHD2-2*01	IGHJ2*01	294	19	18	0	48
S712	IGHV3/OR16-8*01	IGHD6-25*01	IGHJ1*01	291	0	3	1	48
S713	IGHV3-38*02	IGHD4-23*01	IGHJ5*01	287	5	10	1	49
S714	IGHV1/OR21-1*01	IGHD4-11*01	IGHJ6*02	294	1	13	2	62
S715	IGHV3/OR16-8*02	IGHD7-27*01	IGHJ6*01	293	0	6	1	58
S716	IGHV3-13*03	IGHD3-9*01	IGHJ3*01	291	0	29	0	50
S717	IGHV3-43*01	IGHD5-24*01	IGHJ1*01	293	0	13	12	46
S718	IGHV4-59*01	IGHD1/OR15-1a*01	IGHJ1*01	290	6	8	10	47
S719	IGHV3-33*06	IGHD4-17*01	IGHJ6*01	293	5	11	5	56
S720	IGHV3-64D*06	IGHD7-27*01	IGHJ6*03	294	13	0	0	56
S721	IGHV1-58*01	IGHD3-10*02	IGHJ2*01	294	3	25	4	50
S722	IGHV4-39*05	IGHD6-25*01	IGHJ2*01	294	9	13	0	51
S723	IGHV3-25*04	IGHD5-12*01	IGHJ6*04	291	0	19	0	57
S724	IGHV3/OR16-9*01	IGHD1/OR15-1a*01	IGHJ4*02	292	9	6	0	45
S725	IGHV3-25*04	IGHD3-9*01	IGHJ3*01	294	13	17	8	44
S726	IGHV3-15*01	IGHD1-7*01	IGHJ4*01	299	0	5	0	48
S727	IGHV3-35*01	IGHD1-7*01	IGHJ3*01	294	0	2	0	50
S728	IGHV3/OR16-13*01	IGHD3-16*02	IGHJ6*04	294	7	35	1	63
S729	IGHV7-81*01	IGHD6-25*01	IGHJ3*02	293	0	0	1	46
S730	IGHV4-59*02	IGHD3-3*01	IGHJ1*01	291	14	27	3	44
S731	IGHV2-70*13	IGHD3-16*02	IGHJ2*01	300	0	22	8	52
S732	IGHV3-20*02	IGHD2-15*01	IGHJ3*01	294	8	20	4	50
S733	IGHV3-30-3*02	IGHD4-17*01	IGHJ5*02	289	9	10	0	41
S734	IGHV3-20*01	IGHD1-1*01	IGHJ1*01	292	8	17	10	52
S735	IGHV2-5*08	IGHD3-9*01	IGHJ6*02	298	3	16	2	62
S736	IGHV3-74*02	IGHD2/OR15-2a*01	IGHJ5*01	294	7	23	6	43
S737	IGHV3-74*02	IGHD6-6*01	IGHJ5*02	291	7	0	3	45
S738	IGHV3-38-3*01	IGHD2-21*01	IGHJ3*01	286	2	22	0	48
S739	IGHV6-1*01	IGHD2-2*03	IGHJ1*01	302	3	18	4	52
S740	IGHV3-30*19	IGHD1/OR15-1a*01	IGHJ5*02	294	3	6	4	51
S741	IGHV3-23*01	IGHD1-26*01	IGHJ6*02	293	2	14	1	59
S742	IGHV4-39*07	IGHD1-20*01	IGHJ3*01	292	7	4	5	38
S743	IGHV1/OR15-9*01	IGHD1-14*01	IGHJ1*01	294	7	8	3	49
S744	IGHV4-59*06	IGHD3-16*02	IGHJ3*01	285	0	35	3	47
S745	IGHV3-48*02	IGHD3-16*02	IGHJ5*01	294	11	31	7	51
S746	IGHV4-4*03	IGHD5-18*01	IGHJ2*01	287	9	7	4	45
S747	IGHV3-43D*01	IGHD6-6*01	IGHJ3*01	294	1	4	7	37
S748	IGHV3/OR16-8*02	IGHD6-13*01	IGHJ5*02	294	12	17	6	47
S749	IGHV3-66*03	IGHD7-27*01	IGHJ4*01	290	12	6	2	42
S750	IGHV3-21*04	IGHD3/OR15-3a*01	IGHJ4*01	294	2	23	2	43
S751	IGHV4/OR15-8*03	IGHD4-17*01	IGHJ1*01	293	6	9	0	47
S752	IGHV3-53*02	IGHD3-16*02	IGHJ6*03	285	0	18	1	59
S753	IGHV6-1*01	IGHD6-25*01	IGHJ4*02	303	8	12	13	46
S754	IGHV3-38-3*01	IGHD2-15*01	IGHJ4*02	288	0	30	0	46
S755	IGHV2-5*02	IGHD1/OR15-1a*01	IGHJ4*02	299	3	16	7	48
S756	IGHV1-69D*01	IGHD2-8*02	IGHJ6*01	292	3	24	0	57
S757	IGHV2-70D*14	IGHD1/OR15-1a*01	IGHJ6*02	300	0	6	10	62
S758	IGHV3/OR15-7*01	IGHD6-25*01	IGHJ6*01	298	1	17	3	63
S759	IGHV3/OR16-13*01	IGHD1/OR15-1a*01	IGHJ1*01	293	2	10	3	50
S760	IGHV3-43*01	IGHD6-6*01	IGHJ5*01	289	15	17	3	49
S761	IGHV3-21*02	IGHD2-21*02	IGHJ5*02	294	21	9	2	50
S762	IGHV1-24*01	IGHD7-27*01	IGHJ3*01	287	3	3	9	47
S763	IGHV3-30*12	IGHD4-23*01	IGHJ2*01	292	6	9	1	47
S764	IGHV4/OR15-8*01	IGHD7-27*01	IGHJ5*02	292	7	5	0	45
S765	IGHV3-7*02	IGHD1/OR15-1a*01	IGHJ1*01	293	4	7	8	52
S766	IGHV3/OR16-6*02	IGHD5-12*01	IGHJ4*03	298	0	10	6	41
S767	IGHV3/OR16-12*01	IGHD3/OR15-3a*01	IGHJ6*03	289	0	29	3	54
S768	IGHV3-11*06	IGHD5-12*01	IGHJ3*02	294	12	15	2	44
S769	IGHV1-8*02	IGHD6-25*01	IGHJ3*01	291	0	12	0	46
S770	IGHV3-64D*06	IGHD6-19*01	IGHJ1*01	292	10	19	0	52
S771	IGHV3-20*02	IGHD5-24*01	IGHJ5*01	291	0	6	0	46
S772	IGHV3-30*08	IGHD5-24*01	IGHJ4*02	293	12	12	6	44
S773	IGHV1/OR15-9*01	IGHD3-16*01	IGHJ4*02	291	0	15	0	46
S774	IGHV2-26*01	IGHD2/OR15-2a*01	IGHJ5*01	299	0	28	1	51
S775	IGHV4/OR15-8*03	IGHD3-16*01	IGHJ3*02	293	3	31	0	40
S776	IGHV1-69D*01	IGHD4-23*01	IGHJ6*02	294	0	10	0	62
S777	IGHV4-31*04	IGHD1-7*01	IGHJ1*01	293	3	4	0	49
S778	IGHV3-66*03	IGHD2-2*01	IGHJ5*01	290	7	27	0	49
S779	IGHV2/OR16-5*01	IGHD3-9*01	IGHJ3*02	299	7	15	7	45
S780	IGHV3-NL1*01	IGHD6-25*01	IGHJ5*01	290	0	16	1	51
S781	IGHV1-24*01	IGHD1-1*01	IGHJ6*03	294	3	15	1	59
S782	IGHV1-8*01	IGHD1-14*01	IGHJ5*01	293	9	11	0	51
S783	IGHV3-23*05	IGHD3-9*01	IGHJ2*01	294	7	26	0	49
S784	IGHV3-72*01	IGHD5/OR15-5a*01	IGHJ3*01	300	15	17	6	44
S785	IGHV3-25*04	IGHD1-14*01	IGHJ3*02	293	0	13	1	45
S786	IGHV3/OR16-8*02	IGHD1/OR15-1a*01	IGHJ2*01	292	7	12	3	53
S787	IGHV3-15*03	IGHD6-6*01	IGHJ5*01	300	4	11	15	46
S788	IGHV3-30-3*03	IGHD4/OR15-4a*01	IGHJ4*02	290	14	12	8	37
S789	IGHV4-39*02	IGHD1/OR15-1a*01	IGHJ2*01	296	0	6	9	50
S790	IGHV3-7*03	IGHD2/OR15-2a*01	IGHJ6*04	292	8	24	13	60
S791	IGHV3-11*06	IGHD6-13*01	IGHJ4*03	292	7	14	23	46
S792	IGHV3-20*01	IGHD2-21*01	IGHJ4*02	294	9	22	8	43
S793	IGHV3-74*03	IGHD2/OR15-2a*01	IGHJ3*01	292	5	24	1	48
S794	IGHV1/OR15-9*01	IGHD3-3*01	IGHJ5*01	290	13	11	3	50
S795	IGHV3-13*04	IGHD2-21*01	IGHJ5*01	288	5	10	6	49
S796	IGHV4-31*04	IGHD2-8*01	IGHJ4*01	294	5	21	0	47
S797	IGHV3-13*02	IGHD3-10*01	IGHJ3*02	291	3	21	0	49
S798	IGHV1-3*01	IGHD5-24*01	IGHJ1*01	289	0	11	14	47
S799	IGHV3-43*01	IGHD6-19*01	IGHJ3*01	292	2	18	5	50
S800	IGHV3-64*03	IGHD7-27*01	IGHJ5*01	294	12	0	0	34
S801	IGHV3/OR16-13*01	IGHD1/OR15-1a*01	IGHJ5*01	294	0	4	0	51
S802	IGHV3-21*02	IGHD5/OR15-5a*01	IGHJ1*01	294	1	23	1	51
S803	IGHV3-38*03	IGHD1-26*01	IGHJ4*02	288	3	15	0	40
S804	IGHV3-11*04	IGHD4-11*01	IGHJ5*02	291	0	8	3	47
S805	IGHV3/OR15-7*02	IGHD1-20*01	IGHJ6*01	299	8	14	15	58
S806	IGHV3-53*04	IGHD4-11*01	IGHJ2*01	291	9	5	0	53
S807	IGHV3-11*06	IGHD3-10*01	IGHJ2*01	293	0	12	4	49
S808	IGHV4-31*05	IGHD4/OR15-4a*01	IGHJ5*02	291	3	14	14	45
S809	IGHV1/OR15-9*01	IGHD1-14*01	IGHJ2*01	294	10	15	0	48
S810	IGHV3-21*03	IGHD2-8*01	IGHJ2*01	294	3	20	2	48
S811	IGHV1/OR15-5*02	IGHD1-7*01	IGHJ3*01	294	0	0	8	50
S812	IGHV3-9*03	IGHD1-14*01	IGHJ1*01	294	3	15	0	52
S813	IGHV1-24*01	IGHD1-14*01	IGHJ6*04	292	9	13	7	55
S814	IGHV4-34*05	IGHD2-8*02	IGHJ1*01	290	3	25	13	51
S815	IGHV3-25*04	IGHD4-17*01	IGHJ2*01	293	17	0	0	33
S816	IGHV6-1*02	IGHD2-15*01	IGHJ1*01	303	13	26	3	46
S817	IGHV3-64D*06	IGHD2/OR15-2a*01	IGHJ6*02	294	6	19	4	61
S818	IGHV3/OR16-13*01	IGHD2/OR15-2a*01	IGHJ3*02	294	7	31	6	44
S819	IGHV4-4*04	IGHD4-23*01	IGHJ4*02	287	3	9	4	46
S820	IGHV3-38*01	IGHD4-23*01	IGHJ1*01	288	11	16	8	44
S821	IGHV1/OR21-1*01	IGHD6-6*01	IGHJ4*01	293	5	17	13	39
S822	IGHV5-51*02	IGHD4-23*01	IGHJ4*03	294	2	11	6	48
S823	IGHV3/OR16-9*01	IGHD7-27*01	IGHJ1*01	294	0	6	4	48
S824	IGHV1/OR15-5*02	IGHD6-19*01	IGHJ6*01	293	5	0	2	58
S825	IGHV4-30-2*06	IGHD2-2*03	IGHJ2*01	297	0	22	0	48
S826	IGHV2-5*09	IGHD5/OR15-5a*01	IGHJ6*04	296	5	20	3	55
S827	IGHV1-69*05	IGHD1-14*01	IGHJ4*02	293	12	7	4	39
S828	IGHV3-43*02	IGHD5-24*01	IGHJ3*01	293	2	15	10	50
S829	IGHV2-5*05	IGHD1-14*01	IGHJ3*02	299	3	0	0	47
S830	IGHV3-43*02	IGHD2-21*02	IGHJ6*02	291	6	23	1	54
S831	IGHV3/OR16-13*01	IGHD3-9*01	IGHJ4*01	292	12	24	6	45
S832	IGHV3-43D*01	IGHD1-7*01	IGHJ2*01	294	8	5	3	48
S833	IGHV1-69*02	IGHD1-7*01	IGHJ6*04	294	16	10	1	61
S834	IGHV3-30*12	IGHD4-11*01	IGHJ2*01	293	9	10	2	53
S835	IGHV3/OR16-8*02	IGHD5-18*01	IGHJ4*03	294	0	20	5	48
S836	IGHV3-38*03	IGHD3-3*01	IGHJ2*01	287	0	29	11	49
S837	IGHV1-58*02	IGHD2/OR15-2a*01	IGHJ4*01	293	2	10	4	43
S838	IGHV4-39*01	IGHD3-9*01	IGHJ1*01	297	0	27	8	38
S839	IGHV2-70D*14	IGHD3-16*02	IGHJ3*02	300	7	34	9	44
S840	IGHV1/OR15-1*04	IGHD1-1*01	IGHJ2*01	294	4	0	7	53
S841	IGHV4-38-2*02	IGHD3-3*02	IGHJ6*02	291	8	20	3	62
S842	IGHV1-24*01	IGHD6-19*01	IGHJ5*01	289	7	15	3	41
S843	IGHV3/OR15-7*05	IGHD7-27*01	IGHJ4*02	300	0	1	4	44
S844	IGHV3-33*05	IGHD3-22*01	IGHJ3*01	293	0	11	0	48
S845	IGHV1-8*01	IGHD1-26*01	IGHJ1*01	290	13	15	9	49
S846	IGHV3/OR16-12*01	IGHD1-20*01	IGHJ3*01	294	12	8	4	49
S847	IGHV4-30-4*07	IGHD4/OR15-4a*01	IGHJ1*01	295	0	12	0	45
S848	IGHV3/OR15-7*05	IGHD6-6*01	IGHJ4*02	299	13	15	0	43
S849	IGHV3-33*04	IGHD4-11*01	IGHJ4*02	294	3	8	4	40
S850	IGHV3-73*02	IGHD1-26*01	IGHJ3*02	298	3	20	4	42
S851	IGHV3-7*02	IGHD5-12*01	IGHJ4*01	291	8	13	5	44
S852	IGHV5-10-1*01	IGHD6-6*01	IGHJ4*01	294	10	4	6	41
S853	IGHV3-30-3*02	IGHD1-20*01	IGHJ5*02	294	2	0	2	51
S854	IGHV1-18*04	IGHD3-16*02	IGHJ1*01	294	10	30	4	44
S855	IGHV3-38-3*01	IGHD2/OR15-2a*01	IGHJ2*01	288	4	29	5	53
S856	IGHV3-33*04	IGHD6-13*01	IGHJ5*02	293	7	18	0	46
S857	IGHV2-5*04	IGHD6-13*01	IGHJ4*01	294	7	13	0	35
S858	IGHV4-59*07	IGHD4-11*01	IGHJ5*02	291	8	5	12	36
S859	IGHV1-3*02	IGHD3-3*02	IGHJ2*01	294	3	17	2	42
S860	IGHV3/OR16-8*01	IGHD2/OR15-2a*01	IGHJ4*03	292	0	26	0	43
S861	IGHV5-10-1*04	IGHD2-2*02	IGHJ5*01	293	6	26	4	41
S862	IGHV3-16*02	IGHD3-16*02	IGHJ2*01	292	12	27	0	51
S863	IGHV3-16*01	IGHD2/OR15-2a*01	IGHJ1*01	293	0	23	8	52
S864	IGHV2-70D*04	IGHD3-16*01	IGHJ3*01	298	2	29	1	49
S865	IGHV3-7*01	IGHD5/OR15-5a*01	IGHJ1*01	290	0	15	0	50
S866	IGHV3-33*04	IGHD2-8*01	IGHJ4*01	294	3	23	6	47
S867	IGHV2-70D*04	IGHD5-18*01	IGHJ2*01	300	7	16	4	49
S868	IGHV3-33*05	IGHD1-14*01	IGHJ3*01	293	2	10	9	50
S869	IGHV3-23*03	IGHD1-7*01	IGHJ1*01	291	0	15	11	44
S870	IGHV3-15*03	IGHD3-16*01	IGHJ3*01	298	7	35	7	50
S871	IGHV3-43D*01	IGHD1-20*01	IGHJ5*02	292	0	0	2	46
S872	IGHV3/OR16-6*02	IGHD7-27*01	IGHJ6*02	299	0	0	4	54
S873	IGHV3-53*01	IGHD1-7*01	IGHJ6*02	291	5	15	13	57
S874	IGHV3-13*05	IGHD1-1*01	IGHJ1*01	290	7	7	8	46
S875	IGHV4-28*06	IGHD5-24*01	IGHJ4*03	293	8	9	7	35
S876	IGHV1-45*02	IGHD5/OR15-5a*01	IGHJ1*01	292	7	9	3	47
S877	IGHV4-39*05	IGHD2-2*03	IGHJ3*01	294	5	25	0	37
S878	IGHV3-NL1*01	IGHD7-27*01	IGHJ1*01	294	0	11	2	48
S879	IGHV2-26*01	IGHD5-12*01	IGHJ3*01	300	0	13	0	45
S880	IGHV3-35*01	IGHD6-6*01	IGHJ6*02	294	5	8	5	57
S881	IGHV3-66*03	IGHD2-2*02	IGHJ3*01	291	8	15	4	49
S882	IGHV3-43*01	IGHD2-2*03	IGHJ4*02	291	7	26	1	45
S883	IGHV1-58*02	IGHD1-14*01	IGHJ2*01	294	2	12	17	45
S884	IGHV3-64D*06	IGHD3-16*02	IGHJ3*01	293	12	34	17	47
S885	IGHV3-49*05	IGHD1-14*01	IGHJ3*02	300	0	11	5	45
S886	IGHV3-21*02	IGHD3-10*02	IGHJ1*01	294	1	11	3	46
S887	IGHV3-20*02	IGHD5-12*01	IGHJ1*01	288	4	19	0	47
S888	IGHV3/OR16-13*01	IGHD5/OR15-5a*01	IGHJ1*01	294	5	13	5	50
S889	IGHV4-28*02	IGHD4-11*01	IGHJ5*02	294	2	3	5	45
S890	IGHV1-58*01	IGHD4-11*01	IGHJ5*01	293	0	15	7	49
S891	IGHV3-NL1*01	IGHD4-23*01	IGHJ6*02	293	5	10	0	61
S892	IGHV1/OR15-1*01	IGHD4-11*01	IGHJ6*04	294	0	0	4	63
S893	IGHV3-33*05	IGHD2-15*01	IGHJ4*03	293	12	24	0	38
S894	IGHV1/OR15-9*01	IGHD1-7*01	IGHJ2*01	294	3	13	1	53
S895	IGHV3/OR16-6*02	IGHD5-18*01	IGHJ6*01	300	0	17	4	61
S896	IGHV1/OR15-9*01	IGHD5-12*01	IGHJ1*01	292	6	17	6	46
S897	IGHV6-1*02	IGHD6-25*01	IGHJ5*02	303	4	0	0	45
S898	IGHV3-43D*01	IGHD3-22*01	IGHJ3*01	294	2	21	0	50
S899	IGHV2-26*01	IGHD5-12*01	IGHJ2*01	299	10	17	3	53
S900	IGHV3-16*01	IGHD3-10*02	IGHJ2*01	290	4	27	16	48
S901	IGHV3-30*13	IGHD4-23*01	IGHJ3*01	293	3	9	15	47
S902	IGHV4-30-2*04	IGHD3/OR15-3a*01	IGHJ4*02	224	7	26	2	48
S903	IGHV3/OR16-9*01	IGHD6-19*01	IGHJ6*04	294	1	8	4	60
S904	IGHV3-23*03	IGHD1-1*01	IGHJ1*01	294	3	6	3	52
S905	IGHV4-28*06	IGHD3/OR15-3a*01	IGHJ4*03	293	9	24	0	35
S906	IGHV3-NL1*01	IGHD3-9*01	IGHJ6*02	290	13	27	4	56
S907	IGHV4/OR15-8*01	IGHD6-19*01	IGHJ2*01	292	7	4	3	43
S908	IGHV3-20*01	IGHD5/OR15-5a*01	IGHJ3*02	292	5	4	6	45
S909	IGHV3-13*01	IGHD3-16*01	IGHJ5*01	288	7	17	1	42
S910	IGHV6-1*02	IGHD2-2*03	IGHJ3*01	300	11	28	4	48
S911	IGHV3-11*04	IGHD4/OR15-4a*01	IGHJ3*01	293	5	3	10	50
S912	IGHV1-46*02	IGHD6-19*01	IGHJ1*01	294	12	13	10	47
S913	IGHV3-13*05	IGHD1/OR15-1a*01	IGHJ3*02	291	9	12	1	45
S914	IGHV1/OR21-1*01	IGHD3/OR15-3a*01	IGHJ3*01	291	5	12	3	47
S915	IGHV3/OR16-8*02	IGHD4-17*01	IGHJ5*01	293	6	0	9	50
S916	IGHV1-8*02	IGHD3-10*02	IGHJ4*02	294	5	12	6	44
S917	IGHV4-31*09	IGHD4/OR15-4a*01	IGHJ4*02	290	0	16	0	46
S918	IGHV1-69-2*01	IGHD1-26*01	IGHJ3*01	293	18	10	2	50
S919	IGHV3-15*01	IGHD3/OR15-3a*01	IGHJ5*01	300	7	31	4	49
S920	IGHV3-35*01	IGHD5/OR15-5a*01	IGHJ4*03	293	3	4	3	43
S921	IGHV3/OR16-9*01	IGHD5-24*01	IGHJ5*01	294	5	11	17	49
S922	IGHV3-25*04	IGHD2-8*02	IGHJ3*02	293	1	25	3	45
S923	IGHV3-48*01	IGHD3/OR15-3a*01	IGHJ5*01	293	0	26	8	46
S924	IGHV3/OR16-10*02	IGHD5-12*01	IGHJ4*01	291	3	16	0	42
S925	IGHV4-30-4*02	IGHD1/OR15-1a*01	IGHJ3*02	297	0	12	0	40
S926	IGHV5-10-1*04	IGHD5/OR15-5a*01	IGHJ3*01	294	1	16	0	47
S927	IGHV1-46*02	IGHD1/OR15-1a*01	IGHJ6*03	293	0	12	8	56
S928	IGHV2-5*02	IGHD2-15*01	IGHJ5*02	300	4	26	3	37
S929	IGHV3-48*01	IGHD1/OR15-1a*01	IGHJ5*01	293	0	7	2	41
S930	IGHV3-30*08	IGHD3-9*01	IGHJ5*01	294	0	24	10	45
S931	IGHV3/OR15-7*05	IGHD1-20*01	IGHJ2*01	299	7	10	0	42
S932	IGHV1-69D*01	IGHD1-1*01	IGHJ2*01	294	13	9	0	45
S933	IGHV3-30*07	IGHD6-25*01	IGHJ1*01	292	4	2	8	52
S934	IGHV1-24*01	IGHD2/OR15-2a*01	IGHJ6*01	291	7	31	4	58
S935	IGHV3/OR16-8*01	IGHD3-3*02	IGHJ6*03	294	10	9	0	59
S936	IGHV5-51*04	IGHD5/OR15-5a*01	IGHJ1*01	293	0	17	4	50
S937	IGHV3/OR16-13*01	IGHD3-3*02	IGHJ5*02	293	2	24	9	48
S938	IGHV3-30*10	IGHD2-2*01	IGHJ4*02	293	3	25	6	46
S939	IGHV3-9*01	IGHD6-19*01	IGHJ4*03	293	14	16	2	48
S940	IGHV3/OR16-13*01	IGHD2/OR15-2a*01	IGHJ4*01	293	6	31	0	34
S941	IGHV3-13*01	IGHD1-1*01	IGHJ3*01	286	5	3	4	45
S942	IGHV3-9*02	IGHD2-2*02	IGHJ6*04	292	6	26	0	58
S943	IGHV3-35*01	IGHD3/OR15-3a*01	IGHJ6*01	290	3	27	0	59
S944	IGHV3-25*04	IGHD3-22*01	IGHJ3*01	294	2	18	0	47
S945	IGHV1/OR21-1*01	IGHD2-21*01	IGHJ2*01	294	5	12	3	53
S946	IGHV3-21*03	IGHD4-17*01	IGHJ4*02	294	5	16	9	37
S947	IGHV3/OR16-12*01	IGHD2-2*03	IGHJ4*01	294	15	13	6	42
S948	IGHV3-33*04	IGHD1-26*01	IGHJ6*03	291	1	18	0	62
S949	IGHV1/OR15-9*01	IGHD1-20*01	IGHJ5*01	291	5	16	4	45
S950	IGHV3/OR16-10*01	IGHD6-6*01	IGHJ5*02	291	1	10	1	46
